AADAT	ERCC5
ABL1	MAPK10
ABL1	MAPK11
ABL1	MAPK12
ABL1	MAPK13
ABL1	MAPK14
ABL1	MAPK3
ABL1	MAPK4
ABL1	MAPK6
ABL1	MAPK7
ABL1	MAPK8IP1
ABL1	MAPK9
ABL1	MAPKAPK2
ABL1	MAPKAPK3
ABL1	MAPKAPK5
ABL1	MARK1
ABL1	MARK2
ABL1	MARK4
ABL1	MAST1
ABL1	MAST2
ABL1	MASTL
ABL1	MATK
ABL1	MCF2L
ABL1	MED16
ABL1	MELK
ABL1	MERTK
ABL1	MICALL2
ABL1	MINK1
ABL1	MKKS
ABL1	MKNK1
ABL1	MKNK2
ABL1	MLK4
ABL1	MLTK
ABL1	MOK
ABL1	MOS
ABL1	MRAS
ABL1	MST1R
ABL1	MST4
ABL1	MTF2
ABL1	MYH10
ABL1	MYLK
ABL1	MYLK3
ABL1	MYO1E
ABL1	MYO5A
ABL1	MYO6
ABL1	NCK1
ABL1	NCK2
ABL1	NEK1
ABL1	NEK11
ABL1	NEK2
ABL1	NEK3
ABL1	NEK4
ABL1	NEK6
ABL1	NEK7
ABL1	NLK
ABL1	NOSTRIN
ABL1	NPHP1
ABL1	NPR2
ABL1	NUAK1
ABL1	NUAK2
ABL1	OXSR1
ABL1	PACSIN1
ABL1	PACSIN2
ABL1	PACSIN3
ABL1	PAK1
ABL1	PAK2
ABL1	PAK4
ABL1	PAK7
ABL1	PAN2
ABL1	PARN
ABL1	PASK
ABL1	PBK
ABL1	PDPK1
ABL1	PDRG1
ABL1	PFDN1
ABL1	PFDN2
ABL1	PFDN4
ABL1	PFDN6
ABL1	PHF1
ABL1	PHF13
ABL1	PHF19
ABL1	PHF21A
ABL1	PHKG2
ABL1	PIK3R4
ABL1	PIM2
ABL1	PIM3
ABL1	PINK1
ABL1	PKMYT1
ABL1	PKN1
ABL1	PKN2
ABL1	PKN3
ABL1	PLK1
ABL1	PLK2
ABL1	PLK3
ABL1	PLK4
ABL1	PPAP2A
ABL1	PPAP2B
ABL1	PPAP2C
ABL1	PRKAA1
ABL1	PRKAA2
ABL1	PRKACA
ABL1	PRKACB
ABL1	PRKACG
ABL1	PRKCA
ABL1	PRKCB
ABL1	PRKCD
ABL1	PRKCE
ABL1	PRKCG
ABL1	PRKCH
ABL1	PRKCI
ABL1	PRKCQ
ABL1	PRKCZ
ABL1	PRKD1
ABL1	PRKD2
ABL1	PRKD3
ABL1	PRKG1
ABL1	PRKG2
ABL1	PRPF4B
ABL1	PSKH1
ABL1	PSMD10
ABL1	PTK2
ABL1	PTK2B
ABL1	PTK6
ABL1	PTK7
ABL1	RAB18
ABL1	RAB22A
ABL1	RAB34
ABL1	RAB5A
ABL1	RAB7A
ABL1	RALA
ABL1	RALB
ABL1	RAN
ABL1	RASA1
ABL1	RHOBTB3
ABL1	RIPK1
ABL1	RIPK2
ABL1	RIPK3
ABL1	RNASEL
ABL1	ROCK1
ABL1	ROCK2
ABL1	ROR2
ABL1	RPS6KA1
ABL1	RPS6KA2
ABL1	RPS6KA3
ABL1	RPS6KA4
ABL1	RPS6KA5
ABL1	RPS6KA6
ABL1	RPS6KB1
ABL1	RPS6KB2
ABL1	RPS6KC1
ABL1	RRAS
ABL1	RRAS2
ABL1	RTKN
ABL1	RYK
ABL1	SAR1A
ABL1	SAR1B
ABL1	SCYL3
ABL1	SEC22B
ABL1	SGK1
ABL1	SGK2
ABL1	SGK3
ABL1	SGMS1
ABL1	SGMS2
ABL1	SGPP1
ABL1	SGPP2
ABL1	SH3BP4
ABL1	SH3GL3
ABL1	SH3KBP1
ABL1	SIK1
ABL1	SIK2
ABL1	SIK3
ABL1	SIN3A
ABL1	SLMAP
ABL1	SNRK
ABL1	SNX18
ABL1	SPTA1
ABL1	SRC
ABL1	SRPK1
ABL1	SRPK2
ABL1	SRPK3
ABL1	STK10
ABL1	STK17A
ABL1	STK17B
ABL1	STK24
ABL1	STK25
ABL1	STK3
ABL1	STK36
ABL1	STK38
ABL1	STK38L
ABL1	STK39
ABL1	STK4
ABL1	STRADB
ABL1	STX6
ABL1	STX8
ABL1	SUDS3
ABL1	TAOK1
ABL1	TAOK2
ABL1	TAOK3
ABL1	TBC1D4
ABL1	TCP1
ABL1	TEC
ABL1	TEK
ABL1	TESK2
ABL1	TGFBR1
ABL1	TGFBR2
ABL1	TIE1
ABL1	TLK1
ABL1	TLK2
ABL1	TNIK
ABL1	TNK1
ABL1	TNK2
ABL1	TNNI3K
ABL1	TOM1
ABL1	TP53RK
ABL1	TRAP1
ABL1	TRIB3
ABL1	TRIP10
ABL1	TSSK1B
ABL1	TSSK2
ABL1	TSSK3
ABL1	TSSK4
ABL1	TSSK6
ABL1	TXK
ABL1	TYK2
ABL1	TYRO3
ABL1	ULK1
ABL1	ULK2
ABL1	USP1
ABL1	USP10
ABL1	USP11
ABL1	USP12
ABL1	USP13
ABL1	USP14
ABL1	USP15
ABL1	USP16
ABL1	USP17L10
ABL1	USP17L11
ABL1	USP17L12
ABL1	USP17L13
ABL1	USP17L15
ABL1	USP17L17
ABL1	USP17L18
ABL1	USP17L19
ABL1	USP17L2
ABL1	USP17L20
ABL1	USP17L21
ABL1	USP17L22
ABL1	USP17L23
ABL1	USP17L24
ABL1	USP17L5
ABL1	USP18
ABL1	USP19
ABL1	USP2
ABL1	USP20
ABL1	USP21
ABL1	USP22
ABL1	USP24
ABL1	USP25
ABL1	USP26
ABL1	USP27X
ABL1	USP28
ABL1	USP29
ABL1	USP3
ABL1	USP30
ABL1	USP31
ABL1	USP32
ABL1	USP33
ABL1	USP34
ABL1	USP35
ABL1	USP36
ABL1	USP37
ABL1	USP38
ABL1	USP39
ABL1	USP4
ABL1	USP40
ABL1	USP41
ABL1	USP42
ABL1	USP43
ABL1	USP44
ABL1	USP45
ABL1	USP46
ABL1	USP47
ABL1	USP48
ABL1	USP49
ABL1	USP5
ABL1	USP50
ABL1	USP51
ABL1	USP53
ABL1	USP54
ABL1	USP7
ABL1	USP8
ABL1	USP9X
ABL1	USP9Y
ABL1	VAMP7
ABL1	VAMP8
ABL1	VASP
ABL1	VRK1
ABL1	VRK2
ABL1	WASF2
ABL1	WASL
ABL1	WDR4
ABL1	WDR77
ABL1	WEE1
ABL1	WIPF1
ABL1	WNK1
ABL1	WNK2
ABL1	WNK3
ABL1	WNK4
ABL1	YKT6
ABL1	YWHAB
ABL1	ZAP70
ABL2	ABR
ABL2	ACVR1
ABL2	ACVR1B
ABL2	ACVR1C
ABL2	ACVR2B
ABL2	ACVRL1
ABL2	ADRBK1
ABL2	ADRBK2
ABL2	AGAP3
ABL2	AHI1
ABL2	AKT3
ABL2	AMHR2
ABL2	AMPH
ABL2	ANLN
ABL2	APBB1IP
ABL2	APPL2
ABL2	APRT
ABL2	AQP1
ABL2	AQP2
ABL2	AQP3
ABL2	AQP4
ABL2	AQP6
ABL2	AQP7
ABL2	AQP8
ABL2	AQP9
ABL2	ARAF
ABL2	ARAP1
ABL2	ARAP2
ABL2	ARAP3
ABL2	ARHGAP1
ABL2	ARHGAP10
ABL2	ARHGAP11A
ABL2	ARHGAP11B
ABL2	ARHGAP12
ABL2	ARHGAP15
ABL2	ARHGAP17
ABL2	ARHGAP18
ABL2	ARHGAP19
ABL2	ARHGAP20
ABL2	ARHGAP21
ABL2	ARHGAP22
ABL2	ARHGAP23
ABL2	ARHGAP24
ABL2	ARHGAP25
ABL2	ARHGAP26
ABL2	ARHGAP27
ABL2	ARHGAP28
ABL2	ARHGAP29
ABL2	ARHGAP30
ABL2	ARHGAP31
ABL2	ARHGAP32
ABL2	ARHGAP35
ABL2	ARHGAP36
ABL2	ARHGAP39
ABL2	ARHGAP4
ABL2	ARHGAP40
ABL2	ARHGAP44
ABL2	ARHGAP5
ABL2	ARHGAP6
ABL2	ARHGAP8
ABL2	ARHGAP9
ABL2	ARHGEF7
ABL2	AURKA
ABL2	AURKB
ABL2	AURKC
ABL2	AXL
ABL2	BARD1
ABL2	BCAR3
ABL2	BCL6B
ABL2	BIN1
ABL2	BMPR1B
ABL2	BMX
ABL2	BRSK1
ABL2	BRSK2
ABL2	BTK
ABL2	CAMK1
ABL2	CAMK2A
ABL2	CAMK2B
ABL2	CAMK2D
ABL2	CAMK2G
ABL2	CAMK4
ABL2	CAMKK2
ABL2	CCNA1
ABL2	CCNA2
ABL2	CCNB1
ABL2	CCNB2
ABL2	CCNB3
ABL2	CCNC
ABL2	CCNE2
ABL2	CCNG1
ABL2	CCNH
ABL2	CCNI2
ABL2	CCNK
ABL2	CCNL1
ABL2	CCNL2
ABL2	CCNO
ABL2	CCNT1
ABL2	CCNT2
ABL2	CCNY
ABL2	CCNYL1
ABL2	CCT2
ABL2	CCT3
ABL2	CCT4
ABL2	CCT5
ABL2	CCT6A
ABL2	CCT6B
ABL2	CCT7
ABL2	CCT8
ABL2	CDC14B
ABL2	CDC42BPA
ABL2	CDC42BPB
ABL2	CDC42BPG
ABL2	CDC42EP1
ABL2	CDC42EP4
ABL2	CDC42EP5
ABL2	CDK1
ABL2	CDK11A
ABL2	CDK11B
ABL2	CDK16
ABL2	CDK17
ABL2	CDK18
ABL2	CDK9
ABL2	CDKL1
ABL2	CDKL2
ABL2	CDKL5
ABL2	CDKN2D
ABL2	CHN2
ABL2	CHUK
ABL2	CLINT1
ABL2	CLK2
ABL2	CLK3
ABL2	CNKSR1
ABL2	CNTD2
ABL2	COL4A3BP
ABL2	CORO1A
ABL2	CSF1R
ABL2	CSK
ABL2	CSNK1A1
ABL2	CSNK1D
ABL2	CSNK1E
ABL2	CSNK1G2
ABL2	CSNK1G3
ABL2	CSNK2A1
ABL2	DAB2IP
ABL2	DAPK1
ABL2	DAPK2
ABL2	DAPK3
ABL2	DAPP1
ABL2	DBNL
ABL2	DCLK1
ABL2	DDR2
ABL2	DEPDC1B
ABL2	DGKD
ABL2	DHDDS
ABL2	DLC1
ABL2	DMPK
ABL2	DUSP1
ABL2	DUSP10
ABL2	DUSP13
ABL2	DUSP16
ABL2	DUSP2
ABL2	DUSP22
ABL2	DUSP3
ABL2	DUSP4
ABL2	DUSP5
ABL2	DUSP6
ABL2	DUSP7
ABL2	DUSP8
ABL2	DUSP9
ABL2	DYRK1A
ABL2	DYRK1B
ABL2	DYRK2
ABL2	DYRK3
ABL2	DYRK4
ABL2	E4F1
ABL2	EGR1
ABL2	EIF2AK2
ABL2	EIF2AK3
ABL2	EIF2AK4
ABL2	EPHA10
ABL2	EPHA6
ABL2	EPHB2
ABL2	EPN1
ABL2	EPN2
ABL2	ERBB3
ABL2	ERBB4
ABL2	ERN1
ABL2	ERN2
ABL2	FAM13A
ABL2	FAM13B
ABL2	FAM58A
ABL2	FER
ABL2	FES
ABL2	FEZF1
ABL2	FEZF2
ABL2	FGD1
ABL2	FGR
ABL2	FRK
ABL2	FYN
ABL2	GAK
ABL2	GFI1
ABL2	GFI1B
ABL2	GLIS2
ABL2	GMIP
ABL2	GRB10
ABL2	GRB14
ABL2	GRK4
ABL2	GRK5
ABL2	GRK6
ABL2	GRK7
ABL2	GSG2
ABL2	GSK3A
ABL2	GSK3B
ABL2	GZF1
ABL2	HCK
ABL2	HDAC1
ABL2	HDAC10
ABL2	HDAC11
ABL2	HDAC3
ABL2	HDAC5
ABL2	HDAC6
ABL2	HIC1
ABL2	HIPK3
ABL2	HMHA1
ABL2	HPRT1
ABL2	HSP90AA1
ABL2	HSP90AB1
ABL2	HSP90B1
ABL2	HUNK
ABL2	ICK
ABL2	IGF1R
ABL2	IKBKB
ABL2	IKBKE
ABL2	ILK
ABL2	ILKAP
ABL2	INPP5B
ABL2	IRAK1
ABL2	IRAK2
ABL2	IRAK3
ABL2	IRS1
ABL2	IRS2
ABL2	ITSN1
ABL2	ITSN2
ABL2	KALRN
ABL2	KLF10
ABL2	KLF11
ABL2	KLF12
ABL2	KNDC1
ABL2	KSR1
ABL2	LATS1
ABL2	LATS2
ABL2	LIG4
ABL2	LIMK1
ABL2	LMTK2
ABL2	LMTK3
ABL2	LTK
ABL2	LYN
ABL2	MAK
ABL2	MAP2K3
ABL2	MAP2K5
ABL2	MAP2K6
ABL2	MAP2K7
ABL2	MAP3K1
ABL2	MAP3K10
ABL2	MAP3K11
ABL2	MAP3K12
ABL2	MAP3K13
ABL2	MAP3K2
ABL2	MAP3K6
ABL2	MAP3K8
ABL2	MAP3K9
ABL2	MAP4K1
ABL2	MAP4K2
ABL2	MAP4K3
ABL2	MAP4K4
ABL2	MAP4K5
ABL2	MAPK1
ABL2	MAPK10
ABL2	MAPK11
ABL2	MAPK12
ABL2	MAPK13
ABL2	MAPK14
ABL2	MAPK3
ABL2	MAPK4
ABL2	MAPK6
ABL2	MAPK7
ABL2	MAPK8IP1
ABL2	MAPK9
ABL2	MAPKAPK2
ABL2	MAPKAPK3
ABL2	MAPKAPK5
ABL2	MARK1
ABL2	MARK2
ABL2	MARK4
ABL2	MAST1
ABL2	MAST2
ABL2	MATK
ABL2	MCF2L
ABL2	MERTK
ABL2	MINK1
ABL2	MKKS
ABL2	MKNK1
ABL2	MKNK2
ABL2	MLK4
ABL2	MLTK
ABL2	MOGS
ABL2	MOK
ABL2	MST1R
ABL2	MST4
ABL2	MTOR
ABL2	MYLK
ABL2	MYLK3
ABL2	MYO1E
ABL2	MYO9A
ABL2	MYO9B
ABL2	NBN
ABL2	NEK11
ABL2	NEK2
ABL2	NEK3
ABL2	NEK4
ABL2	NEK6
ABL2	NEK7
ABL2	NET1
ABL2	NLK
ABL2	NOSTRIN
ABL2	NPR2
ABL2	NUAK2
ABL2	NUS1
ABL2	OCRL
ABL2	OPHN1
ABL2	OSR1
ABL2	OSR2
ABL2	OXSR1
ABL2	PACSIN1
ABL2	PACSIN2
ABL2	PACSIN3
ABL2	PAK1
ABL2	PAK2
ABL2	PAK4
ABL2	PAK7
ABL2	PARP1
ABL2	PARP4
ABL2	PASK
ABL2	PAXIP1
ABL2	PBK
ABL2	PDP1
ABL2	PDPK1
ABL2	PHKG2
ABL2	PHLPP2
ABL2	PI4KA
ABL2	PI4KB
ABL2	PIGT
ABL2	PIGU
ABL2	PIK3CB
ABL2	PIK3CD
ABL2	PIK3R2
ABL2	PIK3R4
ABL2	PIM2
ABL2	PIM3
ABL2	PINK1
ABL2	PKMYT1
ABL2	PKN1
ABL2	PKN2
ABL2	PKN3
ABL2	PLCG1
ABL2	PLK1
ABL2	PLK2
ABL2	PLK3
ABL2	PLK4
ABL2	POLL
ABL2	POLR2K
ABL2	PPAT
ABL2	PPM1A
ABL2	PPM1B
ABL2	PPM1D
ABL2	PPM1F
ABL2	PPM1G
ABL2	PPM1J
ABL2	PPM1K
ABL2	PPM1L
ABL2	PPM1M
ABL2	PRKAA1
ABL2	PRKAA2
ABL2	PRKACA
ABL2	PRKACB
ABL2	PRKACG
ABL2	PRKCA
ABL2	PRKCB
ABL2	PRKCD
ABL2	PRKCE
ABL2	PRKCG
ABL2	PRKCH
ABL2	PRKCI
ABL2	PRKCQ
ABL2	PRKCZ
ABL2	PRKD1
ABL2	PRKD2
ABL2	PRKD3
ABL2	PRKG1
ABL2	PRKG2
ABL2	PRPF4B
ABL2	PSD
ABL2	PSKH1
ABL2	PSMD10
ABL2	PTK2
ABL2	PTK2B
ABL2	PTK6
ABL2	PTK7
ABL2	PTPN12
ABL2	PTPN13
ABL2	PTPN14
ABL2	PTPN18
ABL2	PTPN2
ABL2	PTPN21
ABL2	PTPN22
ABL2	PTPN3
ABL2	PTPN4
ABL2	PTPN5
ABL2	PTPN6
ABL2	PTPN7
ABL2	PTPN9
ABL2	PTPRB
ABL2	PTPRC
ABL2	PTPRD
ABL2	PTPRE
ABL2	PTPRH
ABL2	PTPRK
ABL2	PTPRM
ABL2	PTPRN2
ABL2	PTPRO
ABL2	PTPRR
ABL2	PTPRT
ABL2	PTPRU
ABL2	PTPRZ1
ABL2	RACGAP1
ABL2	RAD50
ABL2	RALBP1
ABL2	RALGPS1
ABL2	RALGPS2
ABL2	RAPGEF1
ABL2	RAPGEF2
ABL2	RAPGEF3
ABL2	RAPGEF4
ABL2	RAPGEF5
ABL2	RAPGEF6
ABL2	RAPGEFL1
ABL2	RAPH1
ABL2	RASA1
ABL2	RASA2
ABL2	RASA3
ABL2	RASA4
ABL2	RASAL1
ABL2	RASAL2
ABL2	RASAL3
ABL2	RASGEF1A
ABL2	RASGEF1B
ABL2	RASGEF1C
ABL2	RASGRF1
ABL2	RASGRF2
ABL2	RASGRP1
ABL2	RASGRP2
ABL2	RASGRP3
ABL2	RASGRP4
ABL2	REV1
ABL2	RFC1
ABL2	RGL1
ABL2	RGL2
ABL2	RGL3
ABL2	RGL4
ABL2	RIPK1
ABL2	RIPK2
ABL2	RIPK3
ABL2	RNASEL
ABL2	ROCK1
ABL2	ROCK2
ABL2	ROR2
ABL2	RPS6KA1
ABL2	RPS6KA2
ABL2	RPS6KA3
ABL2	RPS6KA4
ABL2	RPS6KA5
ABL2	RPS6KA6
ABL2	RPS6KB1
ABL2	RPS6KB2
ABL2	RPS6KC1
ABL2	RTKN
ABL2	RTKN2
ABL2	RYK
ABL2	SACM1L
ABL2	SALL1
ABL2	SALL4
ABL2	SCRT2
ABL2	SCYL3
ABL2	SGK1
ABL2	SGK2
ABL2	SGK3
ABL2	SH2B2
ABL2	SH2D3A
ABL2	SH2D3C
ABL2	SH3BP2
ABL2	SH3BP4
ABL2	SH3GL3
ABL2	SH3KBP1
ABL2	SIK1
ABL2	SIK2
ABL2	SIK3
ABL2	SKAP2
ABL2	SNAI1
ABL2	SNAI2
ABL2	SNRK
ABL2	SNX18
ABL2	SOS1
ABL2	SOS2
ABL2	SRC
ABL2	SRGAP1
ABL2	SRGAP2
ABL2	SRPK1
ABL2	SRPK2
ABL2	SRPK3
ABL2	SSH3
ABL2	STARD13
ABL2	STARD8
ABL2	STK10
ABL2	STK17A
ABL2	STK17B
ABL2	STK24
ABL2	STK25
ABL2	STK3
ABL2	STK36
ABL2	STK38
ABL2	STK38L
ABL2	STK39
ABL2	STK4
ABL2	STYXL1
ABL2	SYDE1
ABL2	SYDE2
ABL2	SYNGAP1
ABL2	SYNJ1
ABL2	TAGAP
ABL2	TAOK1
ABL2	TAOK3
ABL2	TCP1
ABL2	TEC
ABL2	TEK
ABL2	TESK2
ABL2	TGFBR1
ABL2	TGFBR2
ABL2	TGFBRAP1
ABL2	TIE1
ABL2	TLK1
ABL2	TLK2
ABL2	TNIK
ABL2	TNK1
ABL2	TNK2
ABL2	TNNI3K
ABL2	TOPBP1
ABL2	TP53RK
ABL2	TRAP1
ABL2	TRIB3
ABL2	TRIP10
ABL2	TSSK1B
ABL2	TSSK2
ABL2	TSSK3
ABL2	TSSK4
ABL2	TSSK6
ABL2	TXK
ABL2	TYK2
ABL2	TYRO3
ABL2	ULK1
ABL2	ULK2
ABL2	UMPS
ABL2	VAV2
ABL2	VRK1
ABL2	VRK2
ABL2	WNK1
ABL2	WNK2
ABL2	WNK3
ABL2	WNK4
ABL2	XRCC1
ABL2	YY1
ABL2	ZAP70
ABL2	ZBTB14
ABL2	ZBTB32
ABL2	ZBTB7A
