ABL1	EPHB2
ABL1	EVL
ABL1	GPX1
ABL1	GRAP2
ABL1	GRB10
ABL1	GRB2
ABL1	HCK
ABL1	HSP90AA1
ABL1	HSPA4
ABL1	HSPA8
ABL1	INPPL1
ABL1	JAK1
ABL1	MDM2
ABL1	MICAL1
ABL1	MTOR
ABL1	NCK1
ABL1	NCOA3
ABL1	NEDD9
ABL1	NFKBIA
ABL1	NTRK1
ABL1	PAG1
ABL1	PAK2
ABL1	PARK2
ABL1	PIK3R1
ABL1	PLCG1
ABL1	PRKDC
ABL1	PSTPIP1
ABL1	PTPN6
ABL1	RAD51
ABL1	RAD9A
ABL1	RAN
ABL1	RB1
ABL1	RFX1
ABL1	RYBP
ABL1	SH3BP1
ABL1	SHC1
ABL1	SHD
ABL1	SHE
ABL1	SLC9A2
ABL1	SORBS1
ABL1	SORBS2
ABL1	SOS1
ABL1	SPTA1
ABL1	SPTAN1
ABL1	SRC
ABL1	ST5
ABL1	STK4
ABL1	STUB1
ABL1	TERF1
ABL1	TOPBP1
ABL1	TP53
ABL1	TP73
ABL1	TUB
ABL1	UBC
ABL1	VAV1
ABL1	XRCC6
ABL1	YTHDC1
ABL1	ZAP70
ABL1	ZDHHC16
ABL2	CAT
ABL2	EPHB2
ABL2	JAK1
ABL2	MAP3K10
ABL2	SORBS2
ABLIM1	BEGAIN
ABLIM1	CALCOCO2
ABLIM1	GOLGA2
ABLIM1	HOOK2
ABLIM1	KCNJ12
ABLIM1	KRT15
ABLIM1	LDOC1
ABLIM1	SFN
ABLIM1	SREBF2
ABLIM1	TRAF2
ABLIM1	TSC22D4
ABLIM1	USHBP1
ABLIM1	VIM
ABLIM2	SREBF2
ABLIM3	ACTC1
ABTB1	DNTTIP1
ABTB2	CUL3
ABTB2	DNTT
ABTB2	EEF1A1
ABTB2	RBX1
ABTB2	UBC
ABZ2	SNCA
ACACA	AKR1B10
ACACA	BRCA1
ACACA	CHGB
ACACA	MLLT1
ACACA	MLLT3
ACACA	NPM1
ACACA	PRKAA2
ACACA	SIRT1
ACAD11	TBKBP1
ACAD8	NEK2
ACAD9	ICT1
ACAD9	OTUD7B
ACADL	UBC
ACADM	CALM1
ACADM	USP20
ACADM	USP50
ACADSB	USP19
ACADVL	ICT1
ACADVL	SOCS3
ACADVL	UBC
ACAN	FBLN2
ACAN	LUM
ACAN	TNFAIP6
ACAN	TNR
ACAN	VCAN
ACAP1	IFFO1
ACAP3	EIF6
ACAP3	TAB1
ACAT1	EIF1B
ACAT1	HDAC5
ACBD3	GOLGB1
ACBD6	IKBKG
ACCN1	ACCN3
ACCN1	PICK1
ACCN1	STOML1
ACCN2	PICK1
ACCN2	PRKACA
ACCN2	STOML1
ACCN3	DLG4
ACCN3	GOPC
ACCN3	LIN7B
ACCN3	MAGI1
ACCN3	PRKACA
ACCN3	STOML1
ACCS	FBF1
ACD	POT1
ACD	TERF1
ACD	TERF2
ACD	TINF2
ACD	XRCC6
ACE	UBC
ACE2	CALM1
ACHE	APP
ACIN1	BANF1
ACIN1	PAFAH1B2
ACIN1	RBM39
ACIN1	SAP18
ACIN1	SRRM1
ACIN1	SUMO1
ACIN1	TAT
ACIN1	UBC
ACLY	CDKN2A
ACLY	GSK3B
ACLY	HDAC5
ACLY	HGS
ACLY	IKBKE
ACLY	NME2
ACLY	PRKAB1
ACLY	TERF1
ACLY	TERF2
ACLY	TFE3
ACLY	UBC
ACMSD	MAGEA11
ACO1	FBXL5
ACO1	UBC
ACO2	PSMD4
ACO2	SRRM2
ACO2	UBC
ACOT13	RBBP6
ACOT2	UBC
ACOT2	ZNF277
ACOT8	MYC
ACOT9	C1ORF151
ACOT9	ICT1
ACOT9	SHCBP1
ACOT9	UBC
ACP1	CTNNB1
ACP1	EPHA2
ACP1	EPHB1
ACP1	EPHB2
ACP1	FNBP1L
ACP1	KDR
ACP1	MRPL20
ACP1	SFMBT1
ACP1	ZAP70
ACP2	UBC
ACP5	C2ORF18
ACP5	EGR2
ACP5	MAPK9
ACP5	PDCD5
ACP5	PPP2CB
ACP5	RPA2
ACP5	TNFSF10
ACP6	C2ORF18
ACP6	DHCR7
ACP6	DHX36
ACP6	ERH
ACP6	GNG7
ACP6	ILK
ACP6	LIMS1
ACP6	RGS10
ACP6	RSU1
ACPP	UBC
ACR	SERPINA5
ACSBG1	GSK3B
ACSL3	SPG20
ACSL3	TMEM173
ACSL3	UBC
ACSL4	C1ORF151
ACSL4	SPG20
ACSL4	UBC
ACSL4	YWHAQ
ACSM3	EHMT2
ACT5C	RERE
ACTA1	AKT1
ACTA1	APC2
ACTA1	C20ORF20
ACTA1	CBL
ACTA1	CCT4
ACTA1	CCT5
ACTA1	CDH2
ACTA1	CFL1
ACTA1	CNN1
ACTA1	COTL1
ACTA1	CSNK1A1
ACTA1	CTNNBL1
ACTA1	DHX9
ACTA1	DMAP1
ACTA1	DMD
ACTA1	DNASE1
ACTA1	DNMBP
ACTA1	DVL1L1
ACTA1	EP300
ACTA1	ERD10
ACTA1	ETV6
ACTA1	FSCN1
ACTA1	GC
ACTA1	GRB2
ACTA1	GSN
ACTA1	HDAC1
ACTA1	HDAC4
ACTA1	HDAC8
ACTA1	KAT5
ACTA1	KLHL20
ACTA1	MARK4
ACTA1	MIB2
ACTA1	MLPH
ACTA1	MORF4L1
ACTA1	MORF4L2
ACTA1	NCOA3
ACTA1	NRAP
ACTA1	PCYT1B
ACTA1	PFDN1
ACTA1	PHACTR1
ACTA1	POU5F1
ACTA1	PPP1CA
ACTA1	PPP1R9B
ACTA1	PRKCE
ACTA1	RPS6KB1
ACTA1	SCIN
ACTA1	SMARCB1
ACTA1	SPTAN1
ACTA1	TAGLN
ACTA1	TES
ACTA1	TMSB4X
ACTA1	TMSB4Y
ACTA1	TNNI3K
ACTA1	TRIP6
ACTA1	TSC1
ACTA1	UBC
ACTA1	UBE3A
ACTA1	USP25
ACTA1	VIM
ACTA1	XPO6
ACTA2	CCT4
ACTA2	CCT5
ACTA2	CREBBP
ACTA2	EGFR
ACTA2	EP300
ACTA2	NOP56
ACTA2	PCYT1B
ACTA2	UBC
ACTA2	YWHAQ
ACTB	ACTG1
ACTB	ACTR2
ACTB	ACTR3
ACTB	AIMP2
ACTB	ANXA7
ACTB	BCL2L1
ACTB	BCL7C
ACTB	C20ORF20
ACTB	CARM1
ACTB	CBL
ACTB	CCT2
ACTB	CCT3
ACTB	CCT4
ACTB	CCT5
ACTB	CCT6A
ACTB	CCT7
ACTB	CCT8
ACTB	CDK9
ACTB	CDKN1A
ACTB	CDKN2A
ACTB	CENPA
ACTB	CFL1
ACTB	CFL2
ACTB	CPNE1
ACTB	CPNE2
ACTB	CPNE4
ACTB	CTGF
ACTB	DMAP1
ACTB	DSTN
ACTB	DYNLL1
ACTB	EBNA-LP
ACTB	EIF2C4
ACTB	EMD
ACTB	EP300
ACTB	ESR1
ACTB	FABP4
ACTB	GAG
ACTB	GATA4
ACTB	H2AFX
ACTB	HMMR
ACTB	HSPA1B
ACTB	INO80
ACTB	KAT5
ACTB	MEPCE
ACTB	MGMT
ACTB	MORF4L1
ACTB	MORF4L2
ACTB	MYC
ACTB	NCALD
ACTB	NCF1
ACTB	NCF2
ACTB	P2RX7
ACTB	PCK1
ACTB	PCYT1A
ACTB	PCYT1B
ACTB	PFN1
ACTB	PLD1
ACTB	PLD2
ACTB	POLR2A
ACTB	PSMA3
ACTB	PSTPIP1
ACTB	RAB8B
ACTB	RAC1
ACTB	RAC2
ACTB	RCC1
ACTB	RUVBL1
ACTB	RUVBL2
ACTB	SMAD3
ACTB	SMARCA4
ACTB	SMARCC2
ACTB	SMARCE1
ACTB	SMN1
ACTB	SNCA
ACTB	SPTBN2
ACTB	SSH1
ACTB	SSH2
ACTB	TAF11
ACTB	TJP1
ACTB	TK1
ACTB	TTR
ACTB	UBC
ACTB	UCHL5
ACTB	VHL
ACTB	VSNL1
ACTB	YWHAQ
ACTBL2	PPP2CB
ACTBL2	PXK
ACTBL2	UBC
ACTC1	AFAP1
ACTC1	ESR1
ACTC1	GAPDH
ACTC1	SYNE2
ACTC1	TADA2A
ACTC1	TNNI3K
ACTC1	UBC
ACTC1	UCHL5
ACTG1	BCAP31
ACTG1	C20ORF20
ACTG1	CAP1
ACTG1	CAP2
ACTG1	CDH1
ACTG1	CDKN2A
ACTG1	CFL1
ACTG1	CFL2
ACTG1	CTNND1
ACTG1	DISC1
ACTG1	DMAP1
ACTG1	DSTN
ACTG1	DYNLL1
ACTG1	EIF6
ACTG1	EPS8L1
ACTG1	EPS8L2
ACTG1	EPS8L3
ACTG1	FEZ1
ACTG1	FHOD1
ACTG1	GAG
ACTG1	KAT5
ACTG1	MAPK6
ACTG1	MDK
ACTG1	MEPCE
ACTG1	MORF4L1
ACTG1	MORF4L2
ACTG1	PFN2
ACTG1	POU5F1
ACTG1	PRSS23
ACTG1	RBX1
ACTG1	RPS6KA5
ACTG1	RUVBL1
ACTG1	RUVBL2
ACTG1	SH3GL2
ACTG1	SNCA
ACTG1	ST3GAL3
ACTG1	SUMO1
ACTG1	TMSB4X
ACTG1	TNIK
ACTG1	UBC
ACTG1	UCHL5
ACTG1	YWHAQ
ACTG2	CBL
ACTG2	EMD
ACTG2	KAT5
ACTG2	NOP56
ACTG2	UBC
ACTL6A	ACTR5
ACTL6A	ACTR8
ACTL6A	ARHGDIA
ACTL6A	BANF1
ACTL6A	BAZ1B
ACTL6A	BCL7B
ACTL6A	BCL7C
ACTL6A	C20ORF20
ACTL6A	DMAP1
ACTL6A	EP400
ACTL6A	EWSR1
ACTL6A	FLII
ACTL6A	H2AFZ
ACTL6A	ING1
ACTL6A	ING2
ACTL6A	ING3
ACTL6A	INO80
ACTL6A	INO80B
ACTL6A	INO80C
ACTL6A	INO80D
ACTL6A	INO80E
ACTL6A	KAT2A
ACTL6A	KAT5
ACTL6A	MCRS1
ACTL6A	MORF4L1
ACTL6A	MORF4L2
ACTL6A	MYC
ACTL6A	NFRKB
ACTL6A	PBRM1
ACTL6A	RELB
ACTL6A	RUVBL1
ACTL6A	RUVBL2
ACTL6A	SMARCA2
ACTL6A	SMARCA4
ACTL6A	SMARCB1
ACTL6A	SMARCE1
ACTL6A	TAT
ACTL6A	TFPT
ACTL6A	TRRAP
ACTL6A	UBC
ACTL6A	YY1
ACTL6B	ANXA7
ACTL6B	CDKN1A
ACTL6B	CSNK2B
ACTL6B	CTBP1
ACTL6B	GSK3B
ACTL6B	PLK1
ACTL6B	SMARCA2
ACTL6B	SMN1
ACTL6B	TK1
ACTL7A	SOCS6
ACTL8	UBC
ACTN1	APC
ACTN1	ATXN7
ACTN1	CACNA1A
ACTN1	CDH1
ACTN1	CDK5R1
ACTN1	CDK5R2
ACTN1	CEBPA
ACTN1	COL17A1
ACTN1	CTNNA1
ACTN1	GIPC1
ACTN1	ITGB1
ACTN1	KAT2B
ACTN1	MAGEA11
ACTN1	MED14
ACTN1	MYOT
ACTN1	MYOZ1
ACTN1	NR1H3
ACTN1	PDLIM1
ACTN1	PHB
ACTN1	PKN1
ACTN1	PYGB
ACTN1	SSX2IP
ACTN1	SUMO1
ACTN1	TERF1
ACTN1	TERF2
ACTN1	TJP1
ACTN1	TTN
ACTN1	UBC
ACTN1	XRCC4
ACTN1	ZYX
ACTN2	ACTN3
ACTN2	ADAM12
ACTN2	ATXN7
ACTN2	DISC1
ACTN2	DLG1
ACTN2	DLG4
ACTN2	FBXO32
ACTN2	GRIN2B
ACTN2	ITGB3BP
ACTN2	KAT2B
ACTN2	KCNA5
ACTN2	KCNN2
ACTN2	LDB3
ACTN2	MED14
ACTN2	MYOZ1
ACTN2	MYPN
ACTN2	NR1I2
ACTN2	NRIP1
ACTN2	PDLIM1
ACTN2	PSMA3
ACTN2	SNW1
ACTN2	ST7
ACTN2	TNN
ACTN2	TUBA1A
ACTN2	UBC
ACTN2	YWHAQ
ACTN3	MYPN
ACTN4	ATXN7
ACTN4	CAMK2A
ACTN4	CAMK2B
ACTN4	CDKN2A
ACTN4	COL17A1
ACTN4	ESR1
ACTN4	GSN
ACTN4	HDAC5
ACTN4	HDAC7
ACTN4	INO80
ACTN4	LRRC7
ACTN4	MAGI1
ACTN4	MEF2A
ACTN4	MYOZ1
ACTN4	MYOZ2
ACTN4	P2RX7
ACTN4	PDLIM1
ACTN4	PSMA3
ACTN4	SLC9A3R2
ACTN4	STAT1
ACTN4	TJP1
ACTN4	TRIM3
ACTN4	UBC
ACTN4	UBTF
ACTN4	UCHL5
ACTN4	USP6NL
ACTN4	VDR
ACTR10	ACTR1A
ACTR10	CAPZA1
ACTR10	DCTN1
ACTR10	DCTN2
ACTR10	DCTN3
ACTR1A	BICD2
ACTR1A	CAPZA1
ACTR1A	CEP76
ACTR1A	DCTN1
ACTR1A	DCTN2
ACTR1A	DCTN3
ACTR1A	DCTN4
ACTR1A	DCTN5
ACTR1A	DCTN6
ACTR1A	HDAC6
ACTR1A	NUMA1
ACTR1A	SNCA
ACTR1A	SPTBN2
ACTR1A	UBC
ACTR1B	ACTR1A
ACTR1B	CAPZA1
ACTR1B	CSNK2B
ACTR1B	DCTN1
ACTR1B	DCTN2
ACTR1B	DCTN3
ACTR1B	MAPK6
ACTR1B	SNCA
ACTR1B	TK1
ACTR2	ACTR3
ACTR2	ACTR3B
ACTR2	BAK1
ACTR2	BMP2
ACTR2	CTTN
ACTR2	ESR1
ACTR2	UBC
ACTR3	ARPC1B
ACTR3	ARPC2
ACTR3	ARPC3
ACTR3	ARPC4
ACTR3	CDK1
ACTR3	CTTN
ACTR3	EIF1B
ACTR3	ESR1
ACTR3	HCLS1
ACTR3	UBC
ACTR3	WASF2
ACTR3	WASF3
ACTR3B	ARPC1A
ACTR3B	ARPC1B
ACTR3B	ARPC2
ACTR3B	ARPC3
ACTR3B	ARPC3B
ACTR3B	ARPC4
ACTR3B	ARPC5
ACTR3B	ARPC5L
ACTR3B	CDK4
ACTR3B	KIAA1967
ACTR3B	TWF2
ACTR5	ACTR8
ACTR5	CSNK2B
ACTR5	INO80
ACTR5	INO80B
ACTR5	INO80C
ACTR5	INO80D
ACTR5	INO80E
ACTR5	MCRS1
ACTR5	NFRKB
ACTR5	RUVBL1
ACTR5	RUVBL2
ACTR5	TFPT
ACTR5	UCHL5
ACTR5	YY1
ACTR6	RUVBL2
ACTR8	BMPR2
ACTR8	INO80
ACTR8	INO80B
ACTR8	INO80C
ACTR8	INO80D
ACTR8	INO80E
ACTR8	MCRS1
ACTR8	NFRKB
ACTR8	RUVBL1
ACTR8	RUVBL2
ACTR8	TFPT
ACTR8	UCHL5
ACTR8	YY1
ACVR1	ACVR1B
ACVR1	AP2B1
ACVR1	BMP7
ACVR1	BMPR2
ACVR1	CDK14
ACVR1	CHN1
ACVR1	ENG
ACVR1	FANCL
ACVR1	FBXO3
ACVR1	FCHO1
ACVR1	FGD6
ACVR1	FKBP4
ACVR1	FNTA
ACVR1	GDF5
ACVR1	IKBKB
ACVR1	ILKAP
ACVR1	JUB
ACVR1	NAA20
ACVR1	NKIRAS1
ACVR1	NRAS
ACVR1	NUAK2
ACVR1	PLEK
ACVR1	PLEKHB1
ACVR1	RAB17
ACVR1	RAB33B
ACVR1	RAB3B
ACVR1	RAB6B
ACVR1	RAP2A
ACVR1	RASD2
ACVR1	RHEBL1
ACVR1	RHOBTB1
ACVR1	RHOD
ACVR1	RHOJ
ACVR1	RPS27A
ACVR1	RRAS2
ACVR1	SMAD1
ACVR1	SMAD5
ACVR1	SQSTM1
ACVR1	STAT1
ACVR1	STX8
ACVR1	TGFBR1
ACVR1	TGFBR2
ACVR1	TSC22D1
ACVR1	UBE2E3
ACVR1	UBE2R2
ACVR1	UHMK1
ACVR1	USP21
ACVR1	USP39
ACVR1	WDR61
ACVR1B	ACVR2A
ACVR1B	ACVR2B
ACVR1B	BMPR2
ACVR1B	FKBP1A
ACVR1B	INHBA
ACVR1B	INHBB
ACVR1B	SMAD2
ACVR1B	SMAD3
ACVR1B	SMAD7
ACVR1B	SMURF1
ACVR1B	SNX1
ACVR1B	SNX2
ACVR1B	TDGF1
ACVR1B	TSC22D1
ACVR1B	UBC
ACVR2A	BMP6
ACVR2A	BMP7
ACVR2A	ENG
ACVR2A	GDF5
ACVR2A	INHA
ACVR2A	INHBA
ACVR2A	INHBB
ACVR2A	MAGI2
ACVR2A	SYNJ2BP
ACVR2B	BMP6
ACVR2B	BMP7
ACVR2B	ENG
ACVR2B	GDF5
ACVR2B	INHBA
ACVR2B	INHBB
ACVR2B	MSTN
ACVR2B	SNX1
ACVR2B	SNX2
ACVR2B	SNX6
ACVR2B	SYNJ2BP
ACVRL1	SNX6
ACVRL1	TGFB1
ACVRL1	TSC22D1
ACY1	TTC1
ACY1	UBC
ADA	ADORA1
ADA	ADORA2A
ADA	DRD1
ADA	NR3C1
ADA2	KAT2A
ADAM1	CLGN
ADAM10	EFNA2
ADAM10	GRB2
ADAM10	LCK
ADAM10	MAD2L1
ADAM10	UBC
ADAM11	STC2
ADAM12	IGFBP3
ADAM12	IGFBP5
ADAM12	PIK3R1
ADAM15	FYN
ADAM15	GRB2
ADAM15	HCK
ADAM15	LCK
ADAM15	MAD2L1
ADAM15	MAD2L2
ADAM15	SH3GL2
ADAM15	SNX9
ADAM15	TRIP13
ADAM15	UBC
ADAM17	DLG1
ADAM17	MAD2L1
ADAM17	MAPK1
ADAM17	TIMP3
ADAM19	COPB1
ADAM19	SH3GL2
ADAM2	CLGN
ADAM2	CRYAB
ADAM2	DNM1
ADAM22	DLG4
ADAM22	LGI1
ADAM33	ATXN7
ADAM9	CDH1
